first_name last_name staff_id pps hours hourly_rate overtime_rate tax_credit standard_band
Lynda Russell 8744T 9036851H 8 17.36 22.57 1.736 20
John Burnett 8100O 3879003X 8 21.4 27.82 2.14 20
Synthia Otero 7106Q 1877328U 8 27.47 35.71 2.747 20
Debra Riley 9598T 6449807V 8 14.68 19.08 1.468 20
Leonard Born 7380A 8507139B 8 15.86 20.62 1.5859999999999999 20
Dave Henry 2310R 7748601M 8 22.12 28.76 2.212 20
Justine Wells 7904G 6609630X 8 25.69 33.4 2.569 20
George Hamilton 9900H 5664287Z 8 22.55 29.32 2.255 20
Kenneth Zurawski 7659D 3242478B 8 15.74 20.46 1.574 20
Cheryl Cayton 9350P 8409672H 8 19.13 24.87 1.913 20
Helen Ramos 6072F 9011836N 8 22.29 28.98 2.229 20
